architecture,name,description,category,link,tipo_arquitectura,services
-S-R7MWRpaI,mimik: Hybrid Edge Cloud Leveraging AWS to Support Edge Microservice Mesh,,"data_ingestion,interactive",https://www.youtube.com/watch?v=-S-R7MWRpaI,Edge,"['Firehose', 'DynamoDB', 'ThirdParty', 'S3', 'UserConsumerMobile', 'Kinesis', 'EKS']"
ZcY8DG-785w,TMA 2020 Special Episode Reprise: Halodoc,summary video,control,https://www.youtube.com/watch?v=ZcY8DG-785w,,"['UserConsumerAPI', 'Kinesis']"
S-JSSZZaa94,Samsung Health: Scaling Mobile Application Development with Amazon EKS,35000 requests per second from all over the world. why containers? improved cloud usage. previously build application binary files and then deployed.why EKS? no need of setting up plane. multiple AZs so high availability. 15 applications on each cluster. multiple services on each application. prometheus for application monitoring. cloud watch for infra.,interactive,https://www.youtube.com/watch?v=S-JSSZZaa94,,"['ApiGateway', 'ThirdParty', 'NLB', 'UserConsumerMobile', 'XRay', 'CloudWatch', 'EKS']"
jV8DwutbXbg,Tandem Bank: Processing Transaction Data using AWS Lambda with NLP,Connect all other banks to collect the transaction data. Only one lambda can be connected to a kinesis shard and the amount of data ingestion is huge. To keep up with the demans data is published to SQS. SQS with lambda can scaleout well. NLP used to extract transaction related data from different banks statements. Use their own NLP model and use Jenkins & Cloud foundation to update the model instances. Questions - why not use S3 to use the transactional statements before processing?,data_ingestion,https://www.youtube.com/watch?v=jV8DwutbXbg,,"['Lambda', 'SQS', 'Kinesis', 'RDS']"
l0mvXogANE4,Smadex: Serving Billions of Ads with Amazon ElastiCache for Redis (Spanish),1 million requests per second. Spot instances for cost optimization. 3 geographical zones. 600 instances running. 1 hour of events in redis.partitioned per minute.,"data_ingestion,interactive",https://www.youtube.com/watch?v=l0mvXogANE4,,"['Lambda', 'Athena', 'UserConsumerWeb', 'EC2', 'S3', 'SQS', 'ElastiCache']"
E8BGpIxzYc4,TownSq: Providing Performance Insights to Community Managers,"Community management platform; the system is used both for users and the company itself BI.
    The processed data has two ways of being queried: one is transformed into a star schema with the fact table loaded into Aurora (for customers), and the other is queried directly from S3 using Athena (for BI). For the second case, the video mentions they don't use Redshift because that needs to be updated all the time. This is also interesting takeaway: Aurora is for known, repeatedly issued queries (for customers) while BI may have many ad-hoc queries.

    UserCompanyDataStream is a MongoDB changes stream.",data_ingestion,https://www.youtube.com/watch?v=E8BGpIxzYc4,Edge,"['Athena', 'Firehose', 'UserCompanyDataStream', 'S3', 'Aurora', 'QuickSight', 'BeanStalk', 'CloudFront', 'Glue']"
A4Lfk1Zz1dE,Spot.io: Optimizing Cloud Infrastructure Through Secure Cost Aware Automation,1000s of customers. Use AWS Fully managed services to scale. Making it easy for customers to use SaaS. It describes how they are predicting the SPOT instance interruption and triggering replacement.,control,https://www.youtube.com/watch?v=A4Lfk1Zz1dE,,"['CloudFormation', 'IAM', 'SageMaker', 'EC2', 'EKS', 'Aurora']"
ZCj2wuKBBu4,Nike: A Social Graph at Scale with Amazon Neptune,"This team works on representations of user relationships (graphs) with categories (interests).
    Autoscaled EC2 instances write to the graph database.

    WHY_SERVICE:
    In the first version of this system, they used Cassandra instead of Neptune.
    Schema fit Neptune model better than cassandra
    Cassandra was maintenance heavy (as it was not managed). Cassandra was EC2 based.
    Neptune is managed and the representations of graphs are simpler so easy to use.",data_ingestion,https://www.youtube.com/watch?v=ZCj2wuKBBu4,,"['Lambda', 'ApiGateway', 'SNS', 'ThirdParty', 'EC2', 'ELB', 'Neptune', 'UserConsumerMobile']"
u3ZwnulzLnU,SonarSource: Automatic Code Analysis in the Cloud with AWS,,data_ingestion,https://www.youtube.com/watch?v=u3ZwnulzLnU,,"['Lambda', 'Fargate', 'ThirdParty', 'EC2', 'SQS', 'UserCompanyDeveloper', 'Aurora']"
-3lnf5lzsH0,MakeMyTrip: Building Next Generation SOC,"uses apache nifi as a way to pull data into apache metron. talksabout how long to store data in data lake. Moved from onprem HDFS to 'serverless security datalake'.talks about why they (security) needs automation. mentions scale of events, # of integrations made w/ different AWS services.",data_ingestion,https://www.youtube.com/watch?v=-3lnf5lzsH0,,"['Athena', 'CloudTrail', 'SNS', 'ThirdParty', 'EC2', 'S3', 'WAF', 'GuardDuty', 'SQS', 'OnPremDC', 'EMR', 'UserCompanyAnalyst']"
aY-wF9g0qkM,globaldatanet: Using AI to Build a Multi-Tenant SaaS Construction Site Monitoring Solution,"Image processing for images taken by cameras as construction sites.
    The edge device (camera) submits input images via SFTP.
    Rekognition is used to blur persons and license plates.
    There are two processing paths.
    First is immediate that uses Rekognition to generate output as soon as image is received.
    Second is to get better accuracy using a batch job that runs overnight.
    About 86k images are processed every day.",interactive,https://www.youtube.com/watch?v=aY-wF9g0qkM,Edge,"['Lambda', 'UserConsumerWeb', 'UserConsumerEdge', 'ThirdParty', 'S3', 'Rekognition', 'TransferFamily']"
9LhiUsg3knw,Musixmatch: How Content is Generated by Users Italian,"Musixmatch has an interesting function. They gather data (feedback) from users to gather lyrics for songs and also sync them with music.
    The architecture describes how they perform this process of generating content from users.
    A user initiates the feedback process and based on the feedback, some 'tasks' are generated.
    These tasks are delivered to either company internal experts, other users, or artists based on their type.
    The response to these tasks generates more feedback and/or tasks, so the loop continues and the system gains more and more data about music/lyrics/etc.
    Unfortunately a lot of components are disconnected in the graph which makes it hard to understand.","data_ingestion,compute_intensive",https://www.youtube.com/watch?v=9LhiUsg3knw,,"['Lambda', 'DynamoDB', 'Fargate', 'UserConsumerArtist', 'EC2', 'AppSync', 'UserCompanyDomainExpert', 'RedShift', 'UserConsumerMobile', 'CouchBase', 'Aurora']"
HrYfdnPp6qs,STAX: AWS Automated Data Analytics,"ADA (their tool) uses S3 as the common data store.
Actually over 25 services. Video is a carved out subsystem. (Is this true for other systems as well? Could we miss large patterns because of this?)
Comprehend is a super important tool for them because they use it to strip PII data.
Because Glue and Athena are serverless, they only pay for the queries they want to run, and consequently the data they want to ingest.",data_ingestion,https://www.youtube.com/watch?v=HrYfdnPp6qs,Edge,"['Athena', 'Comprehend', 'ThirdParty', 'S3', 'UserCompanyAnalyst', 'CloudFront', 'Cognito', 'Glue']"
lkDq9g43djw,FINBOURNE: How Finbourne Assures Resiliency Through Chaos Engineering Events Every 17 min,"Company develops a new way to deliver data management
    About 10 million requests each day
    Route53 chooses available zone in the moment
    Multiple NLBs because ""want to layer for traffic specifically""
    Multiple zones of EKS + EC2
    Use EKS because stripe workloads across different failure domains, so across different instances
    EKS auto scaled by Karpenter
    3k requests to Aurora each second
    Use Aurora because replicates across regions with minimal lag
    Fail over Aurora routinely to detect failures (Chaos Engineering)
    Main benefit: improve resilience (Chaos Engineering: terminate an app each 17 minutes, an EC2 each 6 hours, fail AZ twice weekly), keep costs in best position
    Future plan: active-active situation (both regions active), better resilient to failures",data_ingestion,https://www.youtube.com/watch?v=lkDq9g43djw,,"['EC2', 'NLB', 'Route53', 'EKS', 'Aurora']"
wzGYJ6BB0iY,Tata Global Beverages: How a Global CPG Enterprise Built a Secure Foundation for SAP,focus on uptime. lot of migration. on-prem connected to aws. load split up into 2 mumbai zones.,data_ingestion,https://www.youtube.com/watch?v=wzGYJ6BB0iY,,"['Lambda', 'ALB', 'UserCompanyDataStream', 'ThirdParty', 'GuardDuty', 'UserCompanyAPI', 'UserConsumerMobile', 'UserConsumerAPI']"
SSWwnNVYi_Q,NHS Digital: From 137 Minutes to 137 Seconds Using EMR,Data encrypted at rest. High performance and fine grained details. Future plans of leveraging ML to generate insights. Enables scale. Apache ranger for authorization. It was not clearly mentioned when and how the EMR jobs would trigger.,data_ingestion,https://www.youtube.com/watch?v=SSWwnNVYi_Q,,"['UserConsumerWeb', 'EC2', 'S3', 'KMS', 'RDS', 'EMR', 'DirectoryService']"
x76BIV88j_M,Cabify: Building a Massively Scalable Ride-Sharing Mobile App with Containers (Spanish),Route53 enabled data transfer which was estimated to 2 weeks in 2 days. 700 services. Spot instances to deal with sudden load and they are low in price. contextual rule for hot data (Mysql) migration to warm(S3): whether trip is active or not.Each service has its own database.,interactive,https://www.youtube.com/watch?v=x76BIV88j_M,,"['EC2', 'S3', 'Route53', 'ELB', 'UserConsumerMobile', 'RDS', 'EKS']"
FfSNnH2bbNc,Carbon by Indigo: Carbon Credits for Regenerative Agriculture,"satellites from NASA.
    5PB of data stored.
    100GB of data per day. addition.

    autoscale EC2 to deal with stream of data.
    WHY S3: Range queries.
    WHY Serverless: most processing on the fly instead of preprocessing.","data_ingestion,interactive",https://www.youtube.com/watch?v=FfSNnH2bbNc,,"['Lambda', 'UserConsumerSatellite', 'UserConsumerWeb', 'Fargate', 'EC2', 'S3', 'RDS', 'ElastiCache']"
rHLuQTO6eoo,Insider: How We Ingest Billions of Data Points Daily to Power our Real-Time Products,eks uses managed node groups (spot instances). 50K W requests per second. 100K R requests per second.,data_ingestion,https://www.youtube.com/watch?v=rHLuQTO6eoo,,"['Athena', 'DynamoDB', 'ThirdParty', 'S3', 'ELB', 'UserConsumerMobile', 'EKS', 'UserCompanyAnalyst']"
u5AT15mgbHk,The Trade Desk: Realtime Ad Bidding in the Cloud with AWS Global Accelerator LIVE,"AdTech SaaS company.
    Amazon Global Accelerator was there main reason for moving to cloud. It is not designed to be a load balancer but they use it as a load balancer.
    Global Accelerator has an Anycast feature. They use this feature for load balancing across regions.
    Request is routed via global accelerator to one of the EC2s that run Ad Bidder software which service the request.
    For database they are using the AeroSpike (running on EC2) in-memory low-latency high-volume database.
    This needs to be fast because no one wants the ad to take too much time to load.
    S3 is done for long term data storage.",interactive,https://www.youtube.com/watch?v=u5AT15mgbHk,,"['EC2', 'S3', 'GlobalAccelerator', 'ALB']"
a6kqyqTNJM4,Seera Group: Transforming Online Travel Booking with Microservices,S3 for storing images. Lambda to determine where to route traffic. 250 micro services. Monitoring using the third party services deployed on EC2 and also the AWS services like cloud watch.,interactive,https://www.youtube.com/watch?v=a6kqyqTNJM4,Edge,"['Lambda', 'EKS', 'UserConsumerWeb', 'ThirdParty', 'EC2', 'S3', 'CloudWatch', 'RDS', 'CloudFront']"
6LcSv9XocTY,Intuit: Serving 7 Million Customers Using Amazon Connect,"Transcribe and Comprehend - easy to use, cost effective, time saving. pay as you go model lets them to experiment well then spinning up as POC. pure serverless - helps as tax filing in US is high during few months of the year, huge peaks. Did the contact center in house which took them few months compared to few years(if not for AWS). Video mentions the use of kinesis for events but the graph does not depict that. Adding it to make it complete.","data_ingestion,interactive",https://www.youtube.com/watch?v=6LcSv9XocTY,,"['Comprehend', 'Lambda', 'Firehose', 'Athena', 'UserConsumerWeb', 'ThirdParty', 'Connect', 'S3', 'Transcribe']"
zqiNLMmEeSo,CloudPlex Media: FullyManaged Serverless Online Video Platform on AWS Korean,"SaaS: provides managed console through S3 web hosting.
    Functions such as upload, transcode, organize, analyze, stats etc. are provided through a REST API (API Gway).
    Graph connections are not described in the video. But it seems like it is just a bunch of functions available on a single console.",interactive,https://www.youtube.com/watch?v=zqiNLMmEeSo,,"['Lambda', 'MediaLive', 'ApiGateway', 'MediaPackage', 'Fargate', 'StepFunctions', 'MediaConvert', 'Rekognition', 'Translate', 'Transcribe']"
JRDGId6N49E,TRI-AD: Large-Scale and High-Performance Distributed Training Platform,"autonomous driving. safe cars. high compute and storage framework. for scalbility, replication between 2 S3 between regions. service catalog reduces development time.challenges? data and ability to manage large amount of data. shortening sdlc.",compute_intensive,https://www.youtube.com/watch?v=JRDGId6N49E,HPC,"['CloudFormation', 'ThirdParty', 'EC2', 'S3', 'ServiceCatalog']"
iwZLadQ3XpY,Riot Games: A new data ingest pipeline for league of legends using MSK,"Api in EKS,  Network can become congested (between AWS and riot direct network), hybrid architecture, 
Benefit:Within 5 minute engagement analytics of a patch rollout. (Seems interactive than batchy).

Scale:
 ~millions in 20+ shards(global), 8TB day/data, 1/2 million events/second, 

Benefit: time to get information from 6-24 hours -> 5 minutes.
Novely: Hybrid architecture	

Dataflow:
	Users/servers -> EKS -> MSK (managed streaming for kafka) 5 regions autoscale up/out, 
	MSK has spark job -> S3 (data lake) 
	Consumer uses GLUE, a metadata store (databricks?)
Servers buffer data using MirrorMaker to send data to MSK (network congestion at peak players)",data_ingestion,https://www.youtube.com/watch?v=iwZLadQ3XpY,,"['ThirdParty', 'S3', 'MSK', 'UserConsumerMobile', 'OnPremDC', 'EKS', 'Glue']"
T048vs9p1h4,DBS Bank: Scalable Serverless Compute Grid on AWS,"DBS's serverless compute grid for option pricing logic.
    The main application that talks to this this grid is called the MX3 application.
    Inputs: stored in S3
    Executable Binaries: stored in EFS which is mounted onto different lambdas
    Output: stored in DynamoDB, while logs are available in OpenSearch
    There are three queues based on job/team priority.
    The three lambdas actually have the same implementation. Separate instances are used for different queues for performance.",compute_intensive,https://www.youtube.com/watch?v=T048vs9p1h4,,"['Lambda', 'DynamoDB', 'SNS', 'OpenSearch', 'S3', 'SQS', 'UserConsumerAPI', 'EFS']"
tTQ36qQF_vA,AWS Solutions: MultiRegion Availability with Amazon DynamoDB Amazon S3 and Amazon Cognito LIVE,"The AWS team builds a new service such that Cognito can be replicated cross region
    Low latency (warm-to-hot standby)
    Cloudfront supports using secondary region when the primary is down (seamless automatic failover)",other,https://www.youtube.com/watch?v=tTQ36qQF_vA,Edge,"['DynamoDB', 'S3', 'CloudFront', 'Cognito']"
ww5fiygF6eg,Marathon Oil: Automating Drone Image Processing to Monitor Equipment Health,Energy company. Using drones to monitor well pads.,"data_ingestion,interactive",https://www.youtube.com/watch?v=ww5fiygF6eg,Edge,"['Lambda', 'UserCompanyDrone', 'ThirdParty', 'S3', 'StepFunctions', 'CloudWatch', 'StorageGateway']"
XgJUsBDQILQ,Klika Tech and Stonehenge: Smart Apartments with Alexa  AWS IoT Special Episode,"UserConsumerIoT is a custom board running Amazon Free RTOS
    IoT device communicates with IoT core using MQTT with certificate-based authentication
    IoT Core has a shadow service that remembers the state of the device
    IoT Core has a device registry that stores information like location of device, etc.
    Reason for storing data in both ElasticSearch and IoTAnalytics is that the former provides real time data access, while the latter provides a more aggregated view

    The company also uses AWS for enterprise backup and restoration. 
    They also nightly backup financial data to a SQL instance for future presentation.",data_ingestion,https://www.youtube.com/watch?v=XgJUsBDQILQ,Edge,"['Lambda', 'DynamoDB', 'OpenSearch', 'AlexaForBusiness', 'QuickSight', 'UserConsumerIOT', 'IoTCore', 'IoTAnalytics', 'RDS']"
Cw26CrJUqv8,Salesforce: Automating SaaS Application Connectivity,ease of setup for customers to connect to public clouds,other,https://www.youtube.com/watch?v=Cw26CrJUqv8,,"['Lambda', 'DynamoDB', 'ApiGateway', 'UserConsumerWeb', 'SNS', 'PrivateLink', 'ThirdParty', 'TransitGateway', 'EKS']"
amh7nzl32v4,Melco Resorts & Entertainment: Serverless Architecture Pattern for Melco Club Mobile App,talks about why they wanted to use serverless.mentions why they chose dynamodb. Future: eks. mentions lambda constraints.,interactive,https://www.youtube.com/watch?v=amh7nzl32v4,,"['Lambda', 'DynamoDB', 'ApiGateway', 'ThirdParty', 'SecretsManager', 'UserConsumerMobile']"
b93-zn-DtBw,JD Power: Building a Rankings  Insights Engine with Data Lakes  Machine Learning on AWS,Terabytes of data,data_ingestion,https://www.youtube.com/watch?v=b93-zn-DtBw,,"['Lambda', 'Athena', 'UserConsumerWeb', 'Fargate', 'SageMaker', 'S3', 'RedShift', 'Cognito', 'Glue']"
eEfWd4EgH_s,Homegate AG: A Serverless Real Estate Platform,"Company is a real state company which has around 100000 leased properties advertised, more than 9 million visits per month
    System is for leasing data ingestion
    Migrated to serverless to scale team and avoid managing infrastructure
    Migrated from monolithic db to dynamodb because it's managed, and it has fast provision
    Step functions are used for more efficient debugging (visualized), and easier future modification
    The final result in SNS is consumed by other services (eg. social media alert)
    The",data_ingestion,https://www.youtube.com/watch?v=eEfWd4EgH_s,,"['Lambda', 'DynamoDB', 'ApiGateway', 'UserCompanyDataStream', 'SNS', 'StepFunctions', 'CloudWatch']"
TTlyNWh0gjM,Zoho Site24x7: Building Scalable Realtime User Monitoring Systems on AWS,"end-to-end ops of business. monitorING application use case. Site24*7. 
    real user monitoring issue on their own servers. so used AWS. why autoscaling? 25mil/day, peak is double.
    use cassandra for high availability. customers are across the globe. this architecture is for single region.
    global is different. future? geo-based route53.",control,https://www.youtube.com/watch?v=TTlyNWh0gjM,,"['UserConsumerWeb', 'ALB', 'ThirdParty', 'EC2', 'SQS', 'Route53', 'UserConsumerAPI']"
XqsgQxyZ2Tw,1plusX: A RealTime Data Management Platform on AWS,"they use kafka for their data pipelines and streaming. usage analysis is done using previous data which theyve worked on.
    They have separate ecs instances for ingestion, aggregation, profiling, and finally serving, each of which makes connections with Kafka and S3.
    mulitple billions of events per month. want fault tolerant. 2 diff fault tolerant strategies. distrubition to multiple AZs. Replication in CouchDatabase.
    recovery of data mechanisms in place. how they handle deletion. like in kafka, cannot delete by key. they do batch and stream processing. they only keep a short history in kafka.
    history is kept in s3.",data_ingestion,https://www.youtube.com/watch?v=XqsgQxyZ2Tw,,"['ThirdParty', 'S3', 'ECS', 'UserConsumerAPI', 'EMR']"
YjASp_VccmI,Vidsy: See How Vidsy Run Their Content Platform on AWS,"Graph is missing connections. So marking it unusable.
    A portal where users can browse and upload content. Another portal for clients to review the content.
    One set of ALB+ECS is for public APIs, and the other set is for private APIs.
    The private ALB+ECS is under a VPC, which also involves Route53.
    ElasticTranscoder -- to support different bitrates at which they want to deliver content to user and client platforms.",interactive,https://www.youtube.com/watch?v=YjASp_VccmI,,"['DynamoDB', 'UserConsumerWeb', 'ALB', 'S3', 'ElasticTranscoder', 'Route53', 'ECS', 'RDS']"
phN08pi3YzY,Fiverr: Simplifying PCI DSS Compliance with Fully Managed Services,"connects between business and freelancer. PCI Compliant system - different account for running the services.
          no db needed, no hsm. configuration of fargate - SSM backed by KMS. GuarDDuty - for more visibility. 
          this makes maintenance way too low.",other,https://www.youtube.com/watch?v=phN08pi3YzY,,"['ThirdParty', 'CloudTrail', 'Fargate', 'ALB']"
WxMBuBBIwpI,NextRoll: Driving OpEx Efficiency for Ad Bidding Engines LIVE,"150B web requests
    600TB data generated per day
    Used to use reserved instances (but expensive and fixed with provider)
    EC2 uses SpotFleet and is distributed across multiple regions
    Upload 17 million files each individual day to S3
    Planning to move to EC2 Fleet",data_ingestion,https://www.youtube.com/watch?v=WxMBuBBIwpI,,"['Lambda', 'EC2', 'S3', 'ELB', 'ECS', 'EBS']"
mT4KDGRgo4k,Heimdall Data: Scale-Out Amazon RDS with Strong Consistency,"database proxy
    monitoring system to ensure consistency
    External DB updates to let know of the proxy updates
    A general framework to easy scaleout DB instances for read heavy workloads. Heimdall does lag detection and find the right table to read the data from.
    Effective use of all replicas. No need to implement scaleout on thrie own.
    This video is in general a very vague idea of how to scale-out DBs. It is just a framework.
    Side question: why is this even needed? Can't you configure most DBs to provide strong consistency?",control,https://www.youtube.com/watch?v=mT4KDGRgo4k,,"['Lambda', 'EC2', 'NLB', 'RDS', 'ElastiCache']"
c8615P0yfi8,Ounass: Building a Scalable Recommender Architecture Powered by the Word2vec Algorithm (Arabic),Ignore this video. The exact same video has been captured in https://www.youtube.com/watch?v=asZIXK7V-U4 (English version).,data_ingestion,https://www.youtube.com/watch?v=c8615P0yfi8,,"['Lambda', 'Athena', 'ApiGateway', 'SageMaker', 'UserConsumerWeb', 'S3', 'StepFunctions', 'EventBridge']"
1ZLiRT0C2Yo,T-Mobile: Standardized Container-Based Architecture That can be Automatically Deployed Anywhere,"40 kubernetes clusters. gitops model is used. 30k containers for 100s of applications. Automating infra deployment. Clusters span through 3 AZs. Deliver Loal zone within a week. To service customers which are not closer to any regions, Local zones are used to reduce latency. 5ms latency when accessed through local zones compared to 15 ms when accessed via AZs. Video does not talk about the flow between components, it is more of how they have eased the deployment for developers and maintain consistent deployments across regions.",control,https://www.youtube.com/watch?v=1ZLiRT0C2Yo,,"['EC2', 'S3', 'ELB', 'RDS', 'TransitGateway', 'CloudWatch']"
6EUknQqaV1w,CloudHealth by VMware: Secure State. Manages Over 50M Assets from Billions of Events on AWS,supporting 3 major cloud providers. billions of events per day. Nepture because it provides read scale-out also because it is schema less. Monitoring 50 million resources.,data_ingestion,https://www.youtube.com/watch?v=6EUknQqaV1w,,"['DynamoDB', 'UserCompanyDataStream', 'ThirdParty', 'OpenSearch', 'Neptune', 'CloudWatch', 'KinesisDataStream']"
uOSpWdAyrZo,HBO Max: Automating Remediation of AWS Resource Misconfigurations,,control,https://www.youtube.com/watch?v=uOSpWdAyrZo,,"['Lambda', 'CloudTrail', 'ThirdParty', 'GuardDuty', 'Inspector', 'EventBridge', 'AWSConfig', 'SecurityHub']"
hf9nMAG9XoU,Taco Bell: Aurora as The Heart of the Menu Middleware and Data Integration Platform for Taco Bell,42 million customers. 100M combinations of pricing information is maintained in DB. Aurora - as it auto scales and also its ability to handle massible number of Lambdas. Cost effective.,control,https://www.youtube.com/watch?v=hf9nMAG9XoU,,"['Lambda', 'ApiGateway', 'UserCompanyDataStream', 'ThirdParty', 'StepFunctions', 'Amplify', 'Aurora']"
KM5ONS2fnG0,HP: Serverless Data Pipeline to Process Manufacturing Data From Assembly Lines in Near Real-Time,Aurora because it is serverless and HP need not worry about the sudden change in workload. Elastic search for real time data monitoring. Previously used Kafka + Apache streams but lot of resources were just allocated to just manage the environment. Managed environment let them concentrate on business logic. Learning - Streaming Lambdas to DynamoDB need to be limited to 2-3 as it would throttle DynamoDB reads. Increased parallelism by leveraging 'Concurrent batches per shard feature of Lambdas'.,data_ingestion,https://www.youtube.com/watch?v=KM5ONS2fnG0,,"['Lambda', 'Athena', 'DynamoDB', 'UserCompanyDataStream', 'OpenSearch', 'S3', 'Glue', 'Kinesis', 'Aurora']"
ktonI7J3kLY,Grabyo: Using Serverless for Smart Capacity Provisioning and Orchestration,cloud native video platformNeed for capacity provisioninguse over 30 managed servicesServerless orchestrationMonitoring lambdas are triggered every minute to check for under provision or over provisioning of resources,"interactive,control",https://www.youtube.com/watch?v=ktonI7J3kLY,,"['Lambda', 'EC2', 'DynamoDB', 'CloudWatch']"
az-C2c33trQ,Adikteev: ROI Analysis of Advertising Campaigns From Data Ingestion to Prediction Dashboards,"adTech company for optimize ad spending
    Separate spark clusters for each customer and each job - 100
    Separate spark clusters for resiliency, independent job failures
    use of spot instances - cost efficient
    Same data in both RDS (for fast data access) & RedShift(for flexibility)
    Architecture designed and deployed in 3 months during MVP phase, scale as customers grow",data_ingestion,https://www.youtube.com/watch?v=az-C2c33trQ,,"['UserConsumerWeb', 'ThirdParty', 'S3', 'RedShift', 'RDS', 'EKS']"
37T7Nd8pL-c,Docebo: How to Create Compelling e-Learning Videos from Documents via AI ML Services,"Internal tool used by e-learning company; generate e-learning tools from documents.
    This team's job is to removes noisy documents from their dataset.
    Uses ML model to classify.
    The entire architecture is serverless except SageMaker.
    Scale: overall, process 10-20 documents/day; the arch can handle 40-50 pagers per minute. Reduce noise by 80%.",control,https://www.youtube.com/watch?v=37T7Nd8pL-c,,"['Lambda', 'SageMaker', 'S3', 'StepFunctions', 'Textract', 'EventBridge', 'UserConsumerAPI']"
ItpY_KKR94k,The Orchard: How the 'Kafka Data Highway' Boosts Developer Productivity & Enables Business Processes,"- Music distribution services. tracks loyalty etc.
     - Core: messaging bus for interoperability between heterogenous systems
     - Systems can subscribe and pull from queue.
     - Core: MSK as central queue
     - a) real time replication b/w data sources, b) Event based architecture.",data_ingestion,https://www.youtube.com/watch?v=ItpY_KKR94k,,"['Lambda', 'Fargate', 'EC2', 'S3', 'OpenSearch', 'MSK', 'UserCompanyCRM']"
DrkaU99l9S8,L&T Technology Services: Monitor & Analyze the Health of Industrial Equipment Using LTTS UBIQWeise,,data_ingestion,https://www.youtube.com/watch?v=DrkaU99l9S8,Edge,"['Lambda', 'SageMaker', 'UserConsumerWeb', 'UserConsumerEdge', 'ThirdParty', 'S3', 'QuickSight', 'IoTCore', 'IoTAnalytics', 'Kinesis']"
OrC9cLYMbas,Telecoming: How To Save Up to 70% Using Fargate Spot on a Test Automation Platform (Spanish),"7 billion annual payment transactions
    present in 27 countries
    30000 daily test executions
    cost optimization using Fargate Spot (70% savings)
    testing platform",control,https://www.youtube.com/watch?v=OrC9cLYMbas,,"['Fargate', 'ThirdParty', 'EC2', 'S3', 'RDS']"
0wnNlOg42dc,Spyne.AI: High-Quality Product Visuals at Scale with AI on AWS,,compute_intensive,https://www.youtube.com/watch?v=0wnNlOg42dc,,"['Lambda', 'ApiGateway', 'SageMaker', 'ALB', 'EC2', 'S3', 'SQS', 'ECS']"
9-6hQdFeolc,Lyniate: Scaling Healthcare Data Exchange At Scale with Tenant Isolation,,"interactive,control",https://www.youtube.com/watch?v=9-6hQdFeolc,,"['EC2', 'ECR', 'NLB', 'UserCompanyDeveloper', 'EBS', 'UserCompanyCRM', 'EKS']"
sQsAGl7mSQs,Eyeota: Scalable ML Model Lifecycle Management for Advertising Audience Discovery,Audience data marketplace. Tring to address data quality using ML algorithms. 100 of training of jobs from 100MBs to 100GBs of data. 100 of inference jobs processing TBs of data. 6-7 Billion advertising Ids are processes in a month. All the orchestration done using Apache Airfflow - which provides lot of flexibility to Data science and data engineering teams. Airflow hosted on EC2. Outcomes - Team efficiency - training pipelines setup in 3-5 days which is half of original. Lot of transparency and lot more configurability at each stage.,data_ingestion,https://www.youtube.com/watch?v=sQsAGl7mSQs,,"['SageMaker', 'EC2', 'S3', 'CloudWatch', 'UserCompanyDeveloper', 'Glue']"
Ccutfm_Srzw,Zulily: A Compelling Suggestive Search Experience Using Amazon DocumentDB with MongoDB Compatibility,"Suggestive search experience, basically recommendations but only based on search data of other similar users.
    Kinesis > KinesisDataStream > Kinesis pattern is being used for data filtering (real time filtering with no servers involved!).
    Initially they were planning to use MongoDB (as their team is expert at it) but decided to use DocumentDB due to low maintenance overhead and ease of use.",interactive,https://www.youtube.com/watch?v=Ccutfm_Srzw,,"['Lambda', 'KinesisDataStream', 'ThirdParty', 'DocumentDB', 'UserConsumerMobile', 'Kinesis', 'ElastiCache']"
i4ueYgjVDCw,"Rappi: Leveraging EKS, DocumentDB, RDS and ElastiCache to Quickly Scale Kubernetes Clusters",,"interactive,control",https://www.youtube.com/watch?v=i4ueYgjVDCw,Edge,"['EKS', 'ALB', 'EC2', 'WAF', 'ElastiCache', 'UserCompanyDeveloper', 'MSK', 'UserConsumerMobile', 'RDS', 'CloudFront']"
Wur1GWB03hk,Lockheed Martin: Using Alexa for Business to Securely Access Program Management Status,largest defense contractor. voice skills - use of Alexa for business. status anywhere anytime. use aurora mysql. why 2 dbs? programs are abbreviations.they convert to a string for alexa to understand. which is stored in dynamodb - quick return of key-value.why alexa for business? enterprise application.,interactive,https://www.youtube.com/watch?v=Wur1GWB03hk,Edge,"['Lambda', 'DynamoDB', 'S3', 'AlexaForBusiness', 'UserConsumerMobile', 'RDS']"
